,Green,NUMBER_OFFERS_SME,SOCIAL_CLAUSE,ENVIRONMENTAL_CLAUSE,ENVIRONMENTAL_CRITERION,ENVIRONMENTAL_WEIGHT,P_CRITERION_WEIGHT,AWARD_PRICE,CAE_LEGAL_STATUS,CAE_REGION,PROCEDURE_TYPE,CPV,FRAMEWORK_AGREEMENT,ADVERTISING,ID_BOAMP_AWARD,ALLOTMENT,MONTH,Division_type,Division,Offers_other,CAE_SIREN,presence,Quarter,Statut
908232,1,2.0,0,1,0,0.0,40.0,9.95227771670556,717,Bourgogne-Franche-Comté,open,'79823000,1,20.0,23-96445,1,2023_July,S,79,0.0,172100000,1,2023Q3,Etat
908233,1,4.0,0,1,0,0.0,40.0,12.468436909997665,717,Bourgogne-Franche-Comté,open,'79823000,1,20.0,23-96445,1,2023_July,S,79,0.0,172100000,1,2023Q3,Etat
908545,0,0.0,0,0,0,0.0,50.0,14.085423184804478,736,Bourgogne-Franche-Comté,open,'15811100,0,31.0,23-92763,1,2023_July,F,15,1.0,262100076,0,2023Q3,EPL
908546,0,0.0,0,0,0,0.0,50.0,12.463772200985991,736,Bourgogne-Franche-Comté,open,'15811100,0,31.0,23-92763,1,2023_July,F,15,1.0,262100076,0,2023Q3,EPL
908547,0,0.0,0,0,0,0.0,50.0,11.980087560881307,736,Bourgogne-Franche-Comté,open,'15811100,0,31.0,23-92763,1,2023_July,F,15,1.0,262100076,0,2023Q3,EPL
908552,0,0.0,0,0,0,0.0,50.0,11.967739311374977,736,Bourgogne-Franche-Comté,open,'15811100,0,31.0,23-92763,1,2023_July,F,15,1.0,262100076,0,2023Q3,EPL
908555,0,0.0,0,0,0,0.0,50.0,11.490270774405422,736,Bourgogne-Franche-Comté,open,'15811100,0,31.0,23-92763,1,2023_July,F,15,1.0,262100076,0,2023Q3,EPL
908558,0,0.0,0,0,0,0.0,50.0,11.949708345224295,736,Bourgogne-Franche-Comté,open,'15811100,0,31.0,23-92763,1,2023_July,F,15,1.0,262100076,0,2023Q3,EPL
908563,0,0.0,0,0,0,0.0,50.0,11.257671859737785,736,Bourgogne-Franche-Comté,open,'15811100,0,31.0,23-92763,1,2023_July,F,15,1.0,262100076,0,2023Q3,EPL
908564,0,0.0,0,0,0,0.0,50.0,11.27720313144916,736,Bourgogne-Franche-Comté,open,'15811100,0,31.0,23-92763,1,2023_July,F,15,1.0,262100076,0,2023Q3,EPL
908566,0,0.0,0,0,0,0.0,50.0,12.437184366493561,736,Bourgogne-Franche-Comté,open,'15811100,0,31.0,23-92763,1,2023_July,F,15,1.0,262100076,0,2023Q3,EPL
908567,0,0.0,0,0,0,0.0,50.0,11.85131015739577,736,Bourgogne-Franche-Comté,open,'15811100,0,31.0,23-92763,1,2023_July,F,15,1.0,262100076,0,2023Q3,EPL
908618,0,0.0,0,0,0,0.0,45.0,12.676076274775909,737,Bourgogne-Franche-Comté,open,'24111500,1,34.0,23-33327,1,2023_March,F,24,2.0,282100544,0,2023Q1,EPL
908619,0,0.0,0,0,0,0.0,45.0,13.304684934198283,737,Bourgogne-Franche-Comté,open,'24111500,1,34.0,23-33327,1,2023_March,F,24,2.0,282100544,0,2023Q1,EPL
908620,0,0.0,0,0,0,0.0,45.0,12.206072645530174,737,Bourgogne-Franche-Comté,open,'24111500,1,34.0,23-33327,1,2023_March,F,24,2.0,282100544,0,2023Q1,EPL
908703,0,1.0,0,0,0,0.0,65.0,13.641157170819497,734,Bourgogne-Franche-Comté,open,'24413100,1,29.0,23-63050,1,2023_May,F,24,0.0,242100410,1,2023Q2,Interco
908704,0,1.0,0,0,0,0.0,65.0,14.28551418721001,734,Bourgogne-Franche-Comté,open,'24311521,1,29.0,23-63050,1,2023_May,F,24,0.0,242100410,1,2023Q2,Interco
908777,0,4.0,0,0,0,0.0,60.0,10.918537056433546,722,Bourgogne-Franche-Comté,open,'34330000,1,46.0,23-29479,1,2023_March,F,34,0.0,222100018,1,2023Q1,Département
908778,0,6.0,0,0,0,0.0,60.0,10.900214760700628,722,Bourgogne-Franche-Comté,open,'34330000,1,46.0,23-29479,1,2023_March,F,34,0.0,222100018,1,2023Q1,Département
908995,0,2.0,0,0,0,0.0,30.0,12.830069888697535,723,Bourgogne-Franche-Comté,open,'75200000,0,30.0,23-91283,0,2023_August,S,75,2.0,200053726,1,2023Q3,Région
910558,0,2.0,0,0,0,0.0,40.0,11.918390573078392,721,Pays de la Loire,open,'44112100,1,45.0,22-33502,0,2022_March,F,44,0.0,218501914,1,2022Q1,Commune
910559,0,2.0,1,0,0,0.0,30.0,15.38412647587812,722,Pays de la Loire,open,'92320000,1,31.0,22-34695,0,2022_March,S,92,0.0,228500013,1,2022Q1,Département
911019,0,2.0,0,0,0,0.0,50.0,15.35780662755752,735,Pays de la Loire,open,'90513000,0,33.0,22-91005,1,2022_August,S,90,1.0,258502962,1,2022Q3,EPL
911020,0,2.0,0,0,0,0.0,50.0,14.658876917261987,735,Pays de la Loire,open,'90513000,0,33.0,22-91005,1,2022_August,S,90,1.0,258502962,1,2022Q3,EPL
911021,0,2.0,0,0,0,0.0,50.0,14.160864662331655,735,Pays de la Loire,open,'90513000,0,33.0,22-91005,1,2022_August,S,90,1.0,258502962,1,2022Q3,EPL
911038,0,2.0,0,0,0,0.0,40.0,11.426004992939527,722,Pays de la Loire,open,'71631450,0,33.0,22-117682,1,2022_September,S,71,4.0,228500013,1,2022Q3,Département
911039,0,3.0,0,0,0,0.0,40.0,10.332343613434867,722,Pays de la Loire,open,'71631400,0,33.0,22-117682,1,2022_September,S,71,2.0,228500013,1,2022Q3,Département
911067,0,4.0,0,0,0,0.0,40.0,13.46453363514018,734,Pays de la Loire,open,'44316400,0,32.0,22-93185,1,2022_July,F,44,0.0,200071165,1,2022Q3,Interco
911069,0,2.0,0,0,0,0.0,40.0,12.301382825334498,734,Pays de la Loire,open,'44113000,0,32.0,22-93185,1,2022_July,F,44,0.0,200071165,1,2022Q3,Interco
911070,0,2.0,0,0,0,0.0,40.0,12.007621706806335,734,Pays de la Loire,open,'19500000,0,32.0,22-93185,1,2022_July,F,19,0.0,200071165,1,2022Q3,Interco
911072,0,3.0,0,0,0,0.0,40.0,11.589886506106357,734,Pays de la Loire,open,'42652000,0,32.0,22-93185,1,2022_July,F,42,0.0,200071165,1,2022Q3,Interco
912292,0,0.0,0,0,0,0.0,50.0,12.89921982609012,722,Pays de la Loire,open,'33140000,1,28.0,22-138463,1,2022_October,F,33,1.0,228500013,0,2022Q4,Département
912293,0,3.0,0,0,0,0.0,40.0,11.982929094215963,722,Pays de la Loire,open,'33140000,1,28.0,22-138463,1,2022_October,F,33,3.0,228500013,1,2022Q4,Département
912294,0,1.0,0,0,0,0.0,40.0,13.487006490992238,722,Pays de la Loire,open,'33140000,1,28.0,22-138463,1,2022_October,F,33,2.0,228500013,1,2022Q4,Département
912295,0,3.0,0,0,0,0.0,40.0,12.468436909997665,722,Pays de la Loire,open,'33140000,1,28.0,22-138463,1,2022_October,F,33,3.0,228500013,1,2022Q4,Département
